Resource,total_interactions
user90@apromore.com,5614.360383391363
user49@apromore.com,5410.9268327527325
user78@apromore.com,5132.015515264582
user32@apromore.com,5079.23465412609
user39@apromore.com,5068.725130828014
user96@apromore.com,4997.9819155477335
user25@apromore.com,4835.300278170438
user92@apromore.com,4826.153520771487
user12@apromore.com,4811.4335167704585
user88@apromore.com,4746.626899194763
user53@apromore.com,4684.590804137184
user54@apromore.com,4681.39556430723
user89@apromore.com,4552.764564887076
user51@apromore.com,4506.167625386676
user38@apromore.com,4428.13412003378
user24@apromore.com,4390.755170331796
user1@apromore.com,4269.018501674362
user72@apromore.com,4155.345141446305
user86@apromore.com,4073.472651863195
user56@apromore.com,4043.7248475181627
user77@apromore.com,4016.0962465685066
user48@apromore.com,3967.4734718615005
user10@apromore.com,3958.7152771489696
user83@apromore.com,3904.86752969226
user31@apromore.com,3885.4818371000356
user29@apromore.com,3843.8556268732964
user2@apromore.com,3746.384036688187
user42@apromore.com,3698.607015738193
user41@apromore.com,3667.279036361894
user26@apromore.com,3665.055674068423
user76@apromore.com,3570.8903868086886
user80@apromore.com,3555.9813277519847
user33@apromore.com,3554.2125556039764
user9@apromore.com,3516.1822519831503
user66@apromore.com,3499.993135216113
user3@apromore.com,3471.9034381846996
user64@apromore.com,3396.26007886843
user22@apromore.com,3365.629248738169
user19@apromore.com,3279.051085274453
user61@apromore.com,3250.2508123734833
user71@apromore.com,3200.2115025958688
user91@apromore.com,3190.802385072486
user27@apromore.com,3186.08911859529
user46@apromore.com,3171.662391521572
user34@apromore.com,3162.4976627634946
user44@apromore.com,3123.1491662115573
user68@apromore.com,3098.2745535112717
user60@apromore.com,3096.045042981119
user50@apromore.com,3081.079636226006
user73@apromore.com,3060.1056563778006
user43@apromore.com,3044.663047960493
user74@apromore.com,2993.2506982720006
user55@apromore.com,2953.7954038907337
user40@apromore.com,2918.9262059501543
user87@apromore.com,2887.333537889661
user81@apromore.com,2841.681910179886
user63@apromore.com,2800.7190354429363
user75@apromore.com,2784.247053039692
user13@apromore.com,2766.318330518359
user84@apromore.com,2691.813980446959
user35@apromore.com,2677.5805132890846
user28@apromore.com,2643.352276584214
user47@apromore.com,2637.454914520614
user5@apromore.com,2632.2158729938174
user94@apromore.com,2550.866429762059
user98@apromore.com,2486.373100336804
user4@apromore.com,2465.1430777048877
user18@apromore.com,2462.7765345919784
user6@apromore.com,2396.3215380276392
user100@apromore.com,2369.796591803336
user58@apromore.com,2274.5902179405693
user93@apromore.com,1970.9903849553102
user62@apromore.com,1960.7056529100498
user11@apromore.com,1892.4727506295524
user70@apromore.com,1845.1624947500418
user82@apromore.com,1831.0703192604838
user97@apromore.com,1775.000854907937
user8@apromore.com,1740.7071233764366
user20@apromore.com,1724.8125338642162
user57@apromore.com,1719.5089177920074
user99@apromore.com,1666.8043165691554
user14@apromore.com,1659.106521140846
user59@apromore.com,1626.8921416322673
user52@apromore.com,1602.8661573633813
user95@apromore.com,1526.1807513003464
user85@apromore.com,1515.5542520716645
user21@apromore.com,1478.4093440167728
user17@apromore.com,1445.5132645407532
user16@apromore.com,1386.148968840249
user65@apromore.com,1381.2882215558022
user23@apromore.com,1359.4678884448745
user37@apromore.com,1340.9166351703418
user15@apromore.com,1336.8964078044223
user79@apromore.com,1287.715075942912
user30@apromore.com,1287.465813096306
user7@apromore.com,1274.9726795164347
user45@apromore.com,1265.293373798337
user69@apromore.com,1231.7626961276305
user36@apromore.com,1228.437027770443
user67@apromore.com,1034.5973165726214
